country,country_code,cpi_score,gdp_growth,control_of_corruption,government_effectiveness,regulatory_quality,fdi_inflow
Mongolia,MNG,33.0,5.12204539122661,-0.492604404687881,-0.47153577208519,-0.175534680485725,2782.0
Montenegro,MNE,46.0,3.16409886329913,-0.0793098732829094,0.247063115239143,0.374201148748398,598.0
Morocco,MAR,37.0,3.79336515978963,-0.536348581314087,-0.0359151102602482,-0.0642079934477806,1639.0
Mozambique,MOZ,25.0,2.14854964610538,-0.828437745571136,-0.716628909111023,-0.708528399467468,3553.0
Myanmar,MMR,16.0,-0.97204641363362,-1.21649932861328,-1.75280201435089,-1.43684935569763,1095.0
Namibia,NAM,49.0,3.71154502416731,0.110072031617165,0.0308966562151909,-0.0622607916593552,2063.0
Nepal,NPL,34.0,3.66537430744967,-0.50792795419693,-0.807803750038147,-0.661413729190826,57.0
Netherlands,NLD,78.0,1.08100584845663,1.86710047721863,1.62553191184998,1.79096639156342,
New Zealand,NZL,83.0,1.28862004711685,2.08409547805786,1.5299768447876,1.91022837162018,1651.0
Nicaragua,NIC,14.0,3.5878302292345,-1.38844013214111,-1.08494555950165,-0.878058850765228,1352.0
Niger,NER,34.0,10.3000000007793,-0.563843965530396,-0.640915930271149,-0.816925287246704,526.0
Nigeria,NGA,26.0,4.06236408888319,-1.04097437858582,-0.847906708717346,-0.936865150928497,1080.0
North Macedonia,MKD,40.0,2.99373536567732,-0.34861546754837,-0.0513173453509808,0.427339255809784,1358.0
Norway,NOR,81.0,2.09723059960317,2.11352157592773,1.79993534088135,1.59752345085144,10757.0
Oman,OMN,55.0,1.63163221127449,0.215157955884933,0.274613231420517,0.434537470340729,8685.0
Pakistan,PAK,27.0,3.04898287335465,-0.999357461929321,-0.577790379524231,-0.901008188724518,2568.0
Panama,PAN,33.0,2.74788545546916,-0.62809419631958,-0.209720730781555,0.118782818317413,2833.0
Papua New Guinea,PNG,31.0,3.79979560086888,-0.657154023647308,-0.802389979362488,-0.642708241939545,303.0
Paraguay,PRY,24.0,4.24996010464072,-1.05772292613983,-0.462065368890762,-0.0789393484592438,400.0
Peru,PER,31.0,3.30394098171516,-0.721040904521942,-0.491872787475586,0.292205184698105,5887.0
Philippines,PHL,33.0,5.69201612823412,-0.537639975547791,0.154091909527779,0.16425496339798,8938.0
Poland,POL,53.0,3.02841630700273,0.565399944782257,0.421437799930573,0.780193567276001,12740.0
Portugal,PRT,57.0,2.13967177177636,0.696312069892883,0.987550020217896,0.755356550216675,14059.0
Qatar,QAT,59.0,2.35970586926597,0.702209830284119,1.19741261005402,0.977040886878967,460.0
Romania,ROU,46.0,0.916003764382594,0.0404953435063362,-0.0926659479737282,0.318900614976883,6201.0
Russia,RUS,22.0,4.34437475491529,-1.10467827320099,-0.712461888790131,-1.12207186222076,3346.0
Rwanda,RWA,57.0,8.89065529573114,0.671653091907501,0.388362646102905,0.124717451632023,819.0
Saint Lucia,LCA,59.0,3.89175024218898,0.54412841796875,0.0738346204161644,0.3971788585186,
Saint Vincent and the Grenadines,VCT,63.0,4.06183490050209,0.737308144569397,0.0738346204161644,0.317606389522552,
